name
Coast (956)
Andes (1603)
Amazon (1559)
Sales (2498)
Self consumption (677)
Self input (107)
Feed for own animals (871)
Fruits (507)
Agro industry (908)
Cultivated grasslands (778)
Tree crops (43)
Cereals (867)
Vegetables (65)
Legumes (152)
Tubers and Roots (517)
Roughage (82)
Flowers (4)
Other crops (229)
